"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1014","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
"","507","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","4235","Проверка перехода на About Page","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkTransitionToAboutPage"
"","998","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
"","505","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","798","Проверка перехода на страницу Product при клике на кнопку Continue Shopping","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.YourCartTest","Regression","tests.YourCartTest","continueShoppingButtonClick"
"","810","Проверка перехода на странице Your Cart при клике на кнопку Cancel","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkTransitionFromCancelButton"
"","3061","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
"","496","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","795","Проверка перехода на страницу Product через clickAllItems","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkTransitionToAllItemsMenu"
"","753","Проверка logout для зарегистрированного пользователя","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkLogout"
"","1490","Проверка перехода по кнопке Back Home со страницы Checkout Completed","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutCompleteTest","Regression","tests.CheckoutCompleteTest","checkTransitionByBackHomeButton"
